ID_Tempo,Data,Dia,M̻s,Ano,Dia_Semana,Trimestre,anoMes
1,2010-12-01,1,12,2010,Wednesday,4,201012
2,2010-12-02,2,12,2010,Thursday,4,201012
3,2010-12-03,3,12,2010,Friday,4,201012
4,2010-12-05,5,12,2010,Sunday,4,201012
5,2010-12-06,6,12,2010,Monday,4,201012
6,2010-12-07,7,12,2010,Tuesday,4,201012
7,2010-12-08,8,12,2010,Wednesday,4,201012
8,2010-12-09,9,12,2010,Thursday,4,201012
9,2010-12-10,10,12,2010,Friday,4,201012
10,2010-12-12,12,12,2010,Sunday,4,201012
11,2010-12-13,13,12,2010,Monday,4,201012
12,2010-12-14,14,12,2010,Tuesday,4,201012
13,2010-12-15,15,12,2010,Wednesday,4,201012
14,2010-12-16,16,12,2010,Thursday,4,201012
15,2010-12-17,17,12,2010,Friday,4,201012
16,2010-12-19,19,12,2010,Sunday,4,201012
17,2010-12-20,20,12,2010,Monday,4,201012
18,2010-12-21,21,12,2010,Tuesday,4,201012
19,2010-12-22,22,12,2010,Wednesday,4,201012
20,2010-12-23,23,12,2010,Thursday,4,201012
21,2011-01-04,4,1,2011,Tuesday,1,201012
22,2011-01-05,5,1,2011,Wednesday,1,201012
23,2011-01-06,6,1,2011,Thursday,1,201012
24,2011-01-07,7,1,2011,Friday,1,201012
25,2011-01-09,9,1,2011,Sunday,1,201012
26,2011-01-10,10,1,2011,Monday,1,201012
27,2011-01-11,11,1,2011,Tuesday,1,201012
28,2011-01-12,12,1,2011,Wednesday,1,201012
29,2011-01-13,13,1,2011,Thursday,1,201012
30,2011-01-14,14,1,2011,Friday,1,201012
31,2011-01-16,16,1,2011,Sunday,1,201012
32,2011-01-17,17,1,2011,Monday,1,201012
33,2011-01-18,18,1,2011,Tuesday,1,201012
34,2011-01-19,19,1,2011,Wednesday,1,201012
35,2011-01-20,20,1,2011,Thursday,1,201012
36,2011-01-21,21,1,2011,Friday,1,201012
37,2011-01-23,23,1,2011,Sunday,1,201012
38,2011-01-24,24,1,2011,Monday,1,201012
39,2011-01-25,25,1,2011,Tuesday,1,201012
40,2011-01-26,26,1,2011,Wednesday,1,201012
41,2011-01-27,27,1,2011,Thursday,1,201012
42,2011-01-28,28,1,2011,Friday,1,201012
43,2011-01-30,30,1,2011,Sunday,1,201012
44,2011-01-31,31,1,2011,Monday,1,201012
45,2011-02-01,1,2,2011,Tuesday,1,201012
46,2011-02-02,2,2,2011,Wednesday,1,201012
47,2011-02-03,3,2,2011,Thursday,1,201012
48,2011-02-04,4,2,2011,Friday,1,201012
49,2011-02-06,6,2,2011,Sunday,1,201012
50,2011-02-07,7,2,2011,Monday,1,201012
51,2011-02-08,8,2,2011,Tuesday,1,201012
52,2011-02-09,9,2,2011,Wednesday,1,201012
53,2011-02-10,10,2,2011,Thursday,1,201012
54,2011-02-11,11,2,2011,Friday,1,201012
55,2011-02-13,13,2,2011,Sunday,1,201012
56,2011-02-14,14,2,2011,Monday,1,201012
57,2011-02-15,15,2,2011,Tuesday,1,201012
58,2011-02-16,16,2,2011,Wednesday,1,201012
59,2011-02-17,17,2,2011,Thursday,1,201012
60,2011-02-18,18,2,2011,Friday,1,201012
61,2011-02-20,20,2,2011,Sunday,1,201012
62,2011-02-21,21,2,2011,Monday,1,201012
63,2011-02-22,22,2,2011,Tuesday,1,201012
64,2011-02-23,23,2,2011,Wednesday,1,201012
65,2011-02-24,24,2,2011,Thursday,1,201012
66,2011-02-25,25,2,2011,Friday,1,201012
67,2011-02-27,27,2,2011,Sunday,1,201012
68,2011-02-28,28,2,2011,Monday,1,201012
69,2011-03-01,1,3,2011,Tuesday,1,201012
70,2011-03-02,2,3,2011,Wednesday,1,201012
71,2011-03-03,3,3,2011,Thursday,1,201012
72,2011-03-04,4,3,2011,Friday,1,201012
73,2011-03-06,6,3,2011,Sunday,1,201012
74,2011-03-07,7,3,2011,Monday,1,201012
75,2011-03-08,8,3,2011,Tuesday,1,201012
76,2011-03-09,9,3,2011,Wednesday,1,201012
77,2011-03-10,10,3,2011,Thursday,1,201012
78,2011-03-11,11,3,2011,Friday,1,201012
79,2011-03-13,13,3,2011,Sunday,1,201012
80,2011-03-14,14,3,2011,Monday,1,201012
81,2011-03-15,15,3,2011,Tuesday,1,201012
82,2011-03-16,16,3,2011,Wednesday,1,201012
83,2011-03-17,17,3,2011,Thursday,1,201012
84,2011-03-18,18,3,2011,Friday,1,201012
85,2011-03-20,20,3,2011,Sunday,1,201012
86,2011-03-21,21,3,2011,Monday,1,201012
87,2011-03-22,22,3,2011,Tuesday,1,201012
88,2011-03-23,23,3,2011,Wednesday,1,201012
89,2011-03-24,24,3,2011,Thursday,1,201012
90,2011-03-25,25,3,2011,Friday,1,201012
91,2011-03-27,27,3,2011,Sunday,1,201012
92,2011-03-28,28,3,2011,Monday,1,201012
93,2011-03-29,29,3,2011,Tuesday,1,201012
94,2011-03-30,30,3,2011,Wednesday,1,201012
95,2011-03-31,31,3,2011,Thursday,1,201012
96,2011-04-01,1,4,2011,Friday,2,201012
97,2011-04-03,3,4,2011,Sunday,2,201012
98,2011-04-04,4,4,2011,Monday,2,201012
99,2011-04-05,5,4,2011,Tuesday,2,201012
100,2011-04-06,6,4,2011,Wednesday,2,201012
101,2011-04-07,7,4,2011,Thursday,2,201012
102,2011-04-08,8,4,2011,Friday,2,201012
103,2011-04-10,10,4,2011,Sunday,2,201012
104,2011-04-11,11,4,2011,Monday,2,201012
105,2011-04-12,12,4,2011,Tuesday,2,201012
106,2011-04-13,13,4,2011,Wednesday,2,201012
107,2011-04-14,14,4,2011,Thursday,2,201012
108,2011-04-15,15,4,2011,Friday,2,201012
109,2011-04-17,17,4,2011,Sunday,2,201012
110,2011-04-18,18,4,2011,Monday,2,201012
111,2011-04-19,19,4,2011,Tuesday,2,201012
112,2011-04-20,20,4,2011,Wednesday,2,201012
113,2011-04-21,21,4,2011,Thursday,2,201012
114,2011-04-26,26,4,2011,Tuesday,2,201012
115,2011-04-27,27,4,2011,Wednesday,2,201012
116,2011-04-28,28,4,2011,Thursday,2,201012
117,2011-05-01,1,5,2011,Sunday,2,201012
118,2011-05-03,3,5,2011,Tuesday,2,201012
119,2011-05-04,4,5,2011,Wednesday,2,201012
120,2011-05-05,5,5,2011,Thursday,2,201012
121,2011-05-06,6,5,2011,Friday,2,201012
122,2011-05-08,8,5,2011,Sunday,2,201012
123,2011-05-09,9,5,2011,Monday,2,201012
124,2011-05-10,10,5,2011,Tuesday,2,201012
125,2011-05-11,11,5,2011,Wednesday,2,201012
126,2011-05-12,12,5,2011,Thursday,2,201012
127,2011-05-13,13,5,2011,Friday,2,201012
128,2011-05-15,15,5,2011,Sunday,2,201012
129,2011-05-16,16,5,2011,Monday,2,201012
130,2011-05-17,17,5,2011,Tuesday,2,201012
131,2011-05-18,18,5,2011,Wednesday,2,201012
132,2011-05-19,19,5,2011,Thursday,2,201012
133,2011-05-20,20,5,2011,Friday,2,201012
134,2011-05-22,22,5,2011,Sunday,2,201012
135,2011-05-23,23,5,2011,Monday,2,201012
136,2011-05-24,24,5,2011,Tuesday,2,201012
137,2011-05-25,25,5,2011,Wednesday,2,201012
138,2011-05-26,26,5,2011,Thursday,2,201012
139,2011-05-27,27,5,2011,Friday,2,201012
140,2011-05-29,29,5,2011,Sunday,2,201012
141,2011-05-31,31,5,2011,Tuesday,2,201012
142,2011-06-01,1,6,2011,Wednesday,2,201012
143,2011-06-02,2,6,2011,Thursday,2,201012
144,2011-06-03,3,6,2011,Friday,2,201012
145,2011-06-05,5,6,2011,Sunday,2,201012
146,2011-06-06,6,6,2011,Monday,2,201012
147,2011-06-07,7,6,2011,Tuesday,2,201012
148,2011-06-08,8,6,2011,Wednesday,2,201012
149,2011-06-09,9,6,2011,Thursday,2,201012
150,2011-06-10,10,6,2011,Friday,2,201012
151,2011-06-12,12,6,2011,Sunday,2,201012
152,2011-06-13,13,6,2011,Monday,2,201012
153,2011-06-14,14,6,2011,Tuesday,2,201012
154,2011-06-15,15,6,2011,Wednesday,2,201012
155,2011-06-16,16,6,2011,Thursday,2,201012
156,2011-06-17,17,6,2011,Friday,2,201012
157,2011-06-19,19,6,2011,Sunday,2,201012
158,2011-06-20,20,6,2011,Monday,2,201012
159,2011-06-21,21,6,2011,Tuesday,2,201012
160,2011-06-22,22,6,2011,Wednesday,2,201012
161,2011-06-23,23,6,2011,Thursday,2,201012
162,2011-06-24,24,6,2011,Friday,2,201012
163,2011-06-26,26,6,2011,Sunday,2,201012
164,2011-06-27,27,6,2011,Monday,2,201012
165,2011-06-28,28,6,2011,Tuesday,2,201012
166,2011-06-29,29,6,2011,Wednesday,2,201012
167,2011-06-30,30,6,2011,Thursday,2,201012
168,2011-07-01,1,7,2011,Friday,3,201012
169,2011-07-03,3,7,2011,Sunday,3,201012
170,2011-07-04,4,7,2011,Monday,3,201012
171,2011-07-05,5,7,2011,Tuesday,3,201012
172,2011-07-06,6,7,2011,Wednesday,3,201012
173,2011-07-07,7,7,2011,Thursday,3,201012
174,2011-07-08,8,7,2011,Friday,3,201012
175,2011-07-10,10,7,2011,Sunday,3,201012
176,2011-07-11,11,7,2011,Monday,3,201012
177,2011-07-12,12,7,2011,Tuesday,3,201012
178,2011-07-13,13,7,2011,Wednesday,3,201012
179,2011-07-14,14,7,2011,Thursday,3,201012
180,2011-07-15,15,7,2011,Friday,3,201012
181,2011-07-17,17,7,2011,Sunday,3,201012
182,2011-07-18,18,7,2011,Monday,3,201012
183,2011-07-19,19,7,2011,Tuesday,3,201012
184,2011-07-20,20,7,2011,Wednesday,3,201012
185,2011-07-21,21,7,2011,Thursday,3,201012
186,2011-07-22,22,7,2011,Friday,3,201012
187,2011-07-24,24,7,2011,Sunday,3,201012
188,2011-07-25,25,7,2011,Monday,3,201012
189,2011-07-26,26,7,2011,Tuesday,3,201012
190,2011-07-27,27,7,2011,Wednesday,3,201012
191,2011-07-28,28,7,2011,Thursday,3,201012
192,2011-07-29,29,7,2011,Friday,3,201012
193,2011-07-31,31,7,2011,Sunday,3,201012
194,2011-08-01,1,8,2011,Monday,3,201012
195,2011-08-02,2,8,2011,Tuesday,3,201012
196,2011-08-03,3,8,2011,Wednesday,3,201012
197,2011-08-04,4,8,2011,Thursday,3,201012
198,2011-08-05,5,8,2011,Friday,3,201012
199,2011-08-07,7,8,2011,Sunday,3,201012
200,2011-08-08,8,8,2011,Monday,3,201012
201,2011-08-09,9,8,2011,Tuesday,3,201012
202,2011-08-10,10,8,2011,Wednesday,3,201012
203,2011-08-11,11,8,2011,Thursday,3,201012
204,2011-08-12,12,8,2011,Friday,3,201012
205,2011-08-14,14,8,2011,Sunday,3,201012
206,2011-08-15,15,8,2011,Monday,3,201012
207,2011-08-16,16,8,2011,Tuesday,3,201012
208,2011-08-17,17,8,2011,Wednesday,3,201012
209,2011-08-18,18,8,2011,Thursday,3,201012
210,2011-08-19,19,8,2011,Friday,3,201012
211,2011-08-21,21,8,2011,Sunday,3,201012
212,2011-08-22,22,8,2011,Monday,3,201012
213,2011-08-23,23,8,2011,Tuesday,3,201012
214,2011-08-24,24,8,2011,Wednesday,3,201012
215,2011-08-25,25,8,2011,Thursday,3,201012
216,2011-08-26,26,8,2011,Friday,3,201012
217,2011-08-28,28,8,2011,Sunday,3,201012
218,2011-08-30,30,8,2011,Tuesday,3,201012
219,2011-08-31,31,8,2011,Wednesday,3,201012
220,2011-09-01,1,9,2011,Thursday,3,201012
221,2011-09-02,2,9,2011,Friday,3,201012
222,2011-09-04,4,9,2011,Sunday,3,201012
223,2011-09-05,5,9,2011,Monday,3,201012
224,2011-09-06,6,9,2011,Tuesday,3,201012
225,2011-09-07,7,9,2011,Wednesday,3,201012
226,2011-09-08,8,9,2011,Thursday,3,201012
227,2011-09-09,9,9,2011,Friday,3,201012
228,2011-09-11,11,9,2011,Sunday,3,201012
229,2011-09-12,12,9,2011,Monday,3,201012
230,2011-09-13,13,9,2011,Tuesday,3,201012
231,2011-09-14,14,9,2011,Wednesday,3,201012
232,2011-09-15,15,9,2011,Thursday,3,201012
233,2011-09-16,16,9,2011,Friday,3,201012
234,2011-09-18,18,9,2011,Sunday,3,201012
235,2011-09-19,19,9,2011,Monday,3,201012
236,2011-09-20,20,9,2011,Tuesday,3,201012
237,2011-09-21,21,9,2011,Wednesday,3,201012
238,2011-09-22,22,9,2011,Thursday,3,201012
239,2011-09-23,23,9,2011,Friday,3,201012
240,2011-09-25,25,9,2011,Sunday,3,201012
241,2011-09-26,26,9,2011,Monday,3,201012
242,2011-09-27,27,9,2011,Tuesday,3,201012
243,2011-09-28,28,9,2011,Wednesday,3,201012
244,2011-09-29,29,9,2011,Thursday,3,201012
245,2011-09-30,30,9,2011,Friday,3,201012
246,2011-10-02,2,10,2011,Sunday,4,201012
247,2011-10-03,3,10,2011,Monday,4,201012
248,2011-10-04,4,10,2011,Tuesday,4,201012
249,2011-10-05,5,10,2011,Wednesday,4,201012
250,2011-10-06,6,10,2011,Thursday,4,201012
251,2011-10-07,7,10,2011,Friday,4,201012
252,2011-10-09,9,10,2011,Sunday,4,201012
253,2011-10-10,10,10,2011,Monday,4,201012
254,2011-10-11,11,10,2011,Tuesday,4,201012
255,2011-10-12,12,10,2011,Wednesday,4,201012
256,2011-10-13,13,10,2011,Thursday,4,201012
257,2011-10-14,14,10,2011,Friday,4,201012
258,2011-10-16,16,10,2011,Sunday,4,201012
259,2011-10-17,17,10,2011,Monday,4,201012
260,2011-10-18,18,10,2011,Tuesday,4,201012
261,2011-10-19,19,10,2011,Wednesday,4,201012
262,2011-10-20,20,10,2011,Thursday,4,201012
263,2011-10-21,21,10,2011,Friday,4,201012
264,2011-10-23,23,10,2011,Sunday,4,201012
265,2011-10-24,24,10,2011,Monday,4,201012
266,2011-10-25,25,10,2011,Tuesday,4,201012
267,2011-10-26,26,10,2011,Wednesday,4,201012
268,2011-10-27,27,10,2011,Thursday,4,201012
269,2011-10-28,28,10,2011,Friday,4,201012
270,2011-10-30,30,10,2011,Sunday,4,201012
271,2011-10-31,31,10,2011,Monday,4,201012
272,2011-11-01,1,11,2011,Tuesday,4,201012
273,2011-11-02,2,11,2011,Wednesday,4,201012
274,2011-11-03,3,11,2011,Thursday,4,201012
275,2011-11-04,4,11,2011,Friday,4,201012
276,2011-11-06,6,11,2011,Sunday,4,201012
277,2011-11-07,7,11,2011,Monday,4,201012
278,2011-11-08,8,11,2011,Tuesday,4,201012
279,2011-11-09,9,11,2011,Wednesday,4,201012
280,2011-11-10,10,11,2011,Thursday,4,201012
281,2011-11-11,11,11,2011,Friday,4,201012
282,2011-11-13,13,11,2011,Sunday,4,201012
283,2011-11-14,14,11,2011,Monday,4,201012
284,2011-11-15,15,11,2011,Tuesday,4,201012
285,2011-11-16,16,11,2011,Wednesday,4,201012
286,2011-11-17,17,11,2011,Thursday,4,201012
287,2011-11-18,18,11,2011,Friday,4,201012
288,2011-11-20,20,11,2011,Sunday,4,201012
289,2011-11-21,21,11,2011,Monday,4,201012
290,2011-11-22,22,11,2011,Tuesday,4,201012
291,2011-11-23,23,11,2011,Wednesday,4,201012
292,2011-11-24,24,11,2011,Thursday,4,201012
293,2011-11-25,25,11,2011,Friday,4,201012
294,2011-11-27,27,11,2011,Sunday,4,201012
295,2011-11-28,28,11,2011,Monday,4,201012
296,2011-11-29,29,11,2011,Tuesday,4,201012
297,2011-11-30,30,11,2011,Wednesday,4,201012
298,2011-12-01,1,12,2011,Thursday,4,201012
299,2011-12-02,2,12,2011,Friday,4,201012
300,2011-12-04,4,12,2011,Sunday,4,201012
301,2011-12-05,5,12,2011,Monday,4,201012
302,2011-12-06,6,12,2011,Tuesday,4,201012
303,2011-12-07,7,12,2011,Wednesday,4,201012
304,2011-12-08,8,12,2011,Thursday,4,201012
305,2011-12-09,9,12,2011,Friday,4,201012
